"name","label","typeName","alias","country","dataset","dictionary","entity"
"NBI3","NBI Hacinamiento","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"ALGUNBI","Al menos un indicador NBI","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"TIPOHOGAR","Tipo de Hogar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"INCALSERV","Calidad de Conexiones a Servicios Básicos","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"INMAT","Calidad de los materiales","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"INCALCONS","Calidad constructiva de la vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"V01","Tipo de vivienda","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","HOGAR"
"NPER","Número de persona en el hogar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P01","Relación o parentesco con el jefe(a) del hogar","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P02","Sexo","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P03","Edad","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P04","Fecha de nacimiento","string","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
"P04D","Día de nacimiento","integer","","argentina","CP2010ARG","data/extracted/CP2010ARG/BASE_AMP_DPTO/CPV2010Ampliado.dicx","PERSONA"
