country,dataset,entity,name,label,typeName,tema_detectado
argentina,CP2010ARG,PERSONA,P08M,Que Provincia Nació,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P08N,Que Provincia Nació-Nombre,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P09M,Donde viviá hace 5 años,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P09N,Donde viviá hace 5 años-Nombre,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P10,En que municipio vivia hace 5 años,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P11M,Donde vive habitualmente,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P11N,Donde vive habitualmente-Nombre,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P12,En que municipio vive habitualmente,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P1305,Cobertura de salud,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P14A,Dificultad o limitación permanente para ver,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P14B,Dificultad o limitación permanente para oír,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P14C,Dificultad o limitación permanente para caminar o subir,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P14D,Dificultad o limitación permanente para agarrar objetos,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P14E,Dificultad o limitación permanente para entender y/o aprender,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P15,Recibe jubilación o pensión,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P16,Tipo de beneficio que recibe,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P1707,Sabe leer y escribir,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P1808,Asiste o asistió a un establecimiento educativo,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P1808C,Condición de asistencia escolar,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P1909,Nivel educativo que cursa o cursó,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P1909C,Nivel educativo que cursa o cursó,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P2010,Completó ese nivel,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P2010C,Completó el nivel,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P2111A,Último grado o año que aprobó en ese nivel,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P2111B,Ningun grado o año aprobado,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P2111C,Grado o año aprobado ignorado,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P2212,Utiliza computadora,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P23,Estado civil legal,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P24,Convive en pareja o matrimonio,integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P2513,"La semana pasada, trabajó al menos una hora",integer,sin_clasificar
argentina,CP2010ARG,PERSONA,P2614,"La semana pasada, hizo alguna changa o algo para vender afuera",integer,sin_clasificar
