country,dataset,entity,name,label,typeName,tema,subtema
peru,CP2017PER,HOGAR,C3P22,H: Su hogar tiene: Televisor a color,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P23,H: Su hogar tiene: Cocina a gas,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P24,H: Su hogar tiene: Refrigeradora o congeladora,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P25,H: Su hogar tiene: Lavadora de ropa,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P26,H: Su hogar tiene: Horno microondas,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P27,H: Su hogar tiene: Licuadora,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P28,H: Su hogar tiene: Plancha eléctrica,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P29,H: Su hogar tiene: Computadora/Laptop/Tablet,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P3,"H: Personas que eran miembros de este hogar, viven en otro país",integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,C3P3A,H: Nro. de personas en este hogar que viven en otro país,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,HAREA,H: Área concepto censal,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,HENCARE,H: Área concepto encuesta,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,HNROHOG,Número Hogar,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,sexcon,H: Sexo del Esposo/a o compañero/a del hogar,integer,vivienda,vivienda_general
peru,CP2017PER,HOGAR,sexjef,H: Sexo del jefe del hogar,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P1,P: Relación de parentesco con el jefe del hogar,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P27,Pm12a+: Nro. total de hijos/as que ha tenido - Nacidos vivos,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P271,Pm12a+: Ningún hijo nacido vivo,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P28,Pm12a+: Nro. total de hijos/as que actualmente - Están vivos,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P281,Pm12a+: Ningún hijo actualmente vivo,integer,vivienda,vivienda_general
peru,CP2017PER,PERSONA,C5P291,Pm12a+: Su último hijo nacido vivo - Mes,integer,vivienda,vivienda_general
